City,Parameter,Status,AIC,MAE,RMSE,MAPE,Model_File
Diu,wind_speed_50m,Success,6153.53,1.507,2.093,22.9%,sarima_Diu_wind_speed_50m.pkl
Diu,wind_power_density_10m,Success,18251.35,98.619,161.662,121.8%,sarima_Diu_wind_power_density_10m.pkl
Diu,wind_power_density_50m,Success,19496.94,152.748,255.081,134.3%,sarima_Diu_wind_power_density_50m.pkl
Diu,wind_speed_10m,Success,5699.96,1.286,1.780,22.1%,sarima_Diu_wind_speed_10m.pkl
Diu,wind_speed_2m,Success,5157.37,1.073,1.470,21.4%,sarima_Diu_wind_speed_2m.pkl
Dwarka,wind_speed_50m,Success,6078.71,1.614,2.145,28.2%,sarima_Dwarka_wind_speed_50m.pkl
Dwarka,wind_speed_10m,Success,5601.77,1.375,1.811,26.5%,sarima_Dwarka_wind_speed_10m.pkl
Dwarka,wind_power_density_50m,Success,19396.05,139.885,225.375,200.3%,sarima_Dwarka_wind_power_density_50m.pkl
Erode,wind_speed_10m,Success,4000.56,0.717,0.858,32.6%,sarima_Erode_wind_speed_10m.pkl
Erode,wind_power_density_10m,Success,12712.99,10.816,13.416,234.9%,sarima_Erode_wind_power_density_10m.pkl
Erode,wind_speed_50m,Success,4994.37,1.069,1.264,30.6%,sarima_Erode_wind_speed_50m.pkl
Erode,wind_speed_2m,Success,2614.80,0.444,0.528,35.2%,sarima_Erode_wind_speed_2m.pkl
Erode,wind_power_density_50m,Success,16027.10,39.076,47.136,202.8%,sarima_Erode_wind_power_density_50m.pkl
Dwarka,wind_speed_2m,Success,5013.41,1.127,1.476,24.8%,sarima_Dwarka_wind_speed_2m.pkl
Gadag,wind_power_density_10m,Success,17086.89,60.709,86.095,311.5%,sarima_Gadag_wind_power_density_10m.pkl
Gadag,wind_speed_10m,Success,5667.12,1.283,1.671,32.7%,sarima_Gadag_wind_speed_10m.pkl
Gadag,wind_speed_2m,Success,4869.36,1.008,1.304,35.7%,sarima_Gadag_wind_speed_2m.pkl
Ganganagar,wind_speed_10m,Success,3969.94,0.811,1.092,31.9%,sarima_Ganganagar_wind_speed_10m.pkl
Ganganagar,wind_speed_50m,Success,5036.48,1.205,1.578,33.8%,sarima_Ganganagar_wind_speed_50m.pkl
Gadag,wind_speed_50m,Success,6298.66,1.543,2.001,29.3%,sarima_Gadag_wind_speed_50m.pkl
Gadag,wind_power_density_50m,Success,19208.02,123.922,172.449,242.6%,sarima_Gadag_wind_power_density_50m.pkl
Ganganagar,wind_power_density_10m,Success,12616.12,13.446,24.454,206.5%,sarima_Ganganagar_wind_power_density_10m.pkl
Gulbarga,wind_power_density_10m,Success,16000.36,38.991,57.607,333.8%,sarima_Gulbarga_wind_power_density_10m.pkl
Ganganagar,wind_power_density_50m,Success,15404.75,40.535,68.299,238.7%,sarima_Ganganagar_wind_power_density_50m.pkl
Gulbarga,wind_speed_50m,Success,5840.29,1.453,1.830,31.6%,sarima_Gulbarga_wind_speed_50m.pkl
Gulbarga,wind_speed_2m,Success,4448.69,0.913,1.166,39.4%,sarima_Gulbarga_wind_speed_2m.pkl
Gulbarga,wind_power_density_50m,Success,18171.06,87.551,126.529,267.1%,sarima_Gulbarga_wind_power_density_50m.pkl
Gulbarga,wind_speed_10m,Success,5193.47,1.162,1.488,35.1%,sarima_Gulbarga_wind_speed_10m.pkl
Ganganagar,wind_speed_2m,Success,3162.01,0.615,0.844,35.0%,sarima_Ganganagar_wind_speed_2m.pkl
Guwahati,wind_power_density_10m,Success,10198.18,4.935,10.112,174.5%,sarima_Guwahati_wind_power_density_10m.pkl
Hassan,wind_speed_50m,Success,5945.47,1.434,1.760,36.3%,sarima_Hassan_wind_speed_50m.pkl
Hassan,wind_speed_10m,Success,5109.28,1.087,1.334,39.7%,sarima_Hassan_wind_speed_10m.pkl
Guwahati,wind_speed_2m,Success,-481.37,0.152,0.216,27.2%,sarima_Guwahati_wind_speed_2m.pkl
Guwahati,wind_power_density_50m,Success,15287.49,34.299,62.265,196.4%,sarima_Guwahati_wind_power_density_50m.pkl
Guwahati,wind_speed_10m,Success,3052.13,0.530,0.747,28.4%,sarima_Guwahati_wind_speed_10m.pkl
Hassan,wind_power_density_10m,Success,15252.98,30.968,38.192,426.1%,sarima_Hassan_wind_power_density_10m.pkl
Guwahati,wind_speed_50m,Success,4836.68,1.058,1.412,30.6%,sarima_Guwahati_wind_speed_50m.pkl
Hospet,wind_speed_10m,Success,5740.68,1.325,1.727,32.5%,sarima_Hospet_wind_speed_10m.pkl
Hassan,wind_speed_2m,Success,4079.32,0.769,0.942,42.0%,sarima_Hassan_wind_speed_2m.pkl
Hospet,wind_power_density_10m,Success,17274.34,66.335,94.242,289.9%,sarima_Hospet_wind_power_density_10m.pkl
Hospet,wind_speed_2m,Success,4960.02,1.048,1.355,36.4%,sarima_Hospet_wind_speed_2m.pkl
Hospet,wind_speed_50m,Success,6325.57,1.530,2.000,26.9%,sarima_Hospet_wind_speed_50m.pkl
